title,category,slug,source_url,client,role,year,location,description,technologies,collaborators,external_links,detail_page,notes
"XRP Ledger Apex 2025","Creative Technology","xrpl-apex-2025","https://www.johnsyzonenko.com/project---xrpl-apex-2025","Invisible North","Creative Technologist","June 2025","Raffles Convention Center, Singapore","Multi-kiosk touchscreen installation for Ripple's global blockchain conference. Guided attendees through curated topics, collected preferences, and generated personalized personas. Guests received commemorative pins and follow-up emails with customized content.","TouchDesigner; touchscreen displays; kiosk systems","Dave Tennent (Studio Dave Tennent); Trevor Grove (Invisible North); Sanaz and the CT team in Singapore","https://studiodave.io/","yes",""
"Camata","Creative Technology","camata","https://www.johnsyzonenko.com/project---camata","Pierre Huyghe Studio","Creative Technologist","2023-2025","Marian Goodman Gallery NYC; Punta della Dogana, Venice","AI-operated film installation with autonomous cameras and robotic operators performing rituals on a human skeleton found in the Atacama Desert. Live sensors capture audience presence, which disrupts and edits the footage in real time. Built the backend for real-time editing and programmed custom sensors responding to human interaction.","TouchDesigner; IR sensors; real-time processing","Anne-So Tisseyre; Valentin Giillet; Pablo Verdugo; Pedro Roca; Paola Ravagni; Pamela Valenzuela; Cadmos (AV installation); Ivaylo Getov; Tommy Martinez","","yes","Existing page in repo at content/projects/camata.md"
"Crypto Sirenas","Creative Technology","goethe-institut","https://www.johnsyzonenko.com/project---goethe-institut","The Goethe-Institut New York","Technical director and projection systems designer; led installation team","February 2025","New York, NY","Projection installation for a temporary collective exhibition featuring Berlin and San Salvador based artists. Designed a four-projector configuration for an 8.5-meter curved screen, optimizing for brightness, pixel density, and cost. Programmed a custom TouchDesigner control interface for playback and system management; projection mapping via MadMapper with NDI and SDI-HDMI conversion.","TouchDesigner; MadMapper; Vectorworks; Immersive Designer Pro; projection mapping; NDI; SDI-HDMI micro converters","Zach Feldman (curator/producer); Chloe Munkenbeck (architect); Seth Scoville and Charlie Gangemi (install); Cam Vokey (pre-production); Max Levin; artists Anna Ehrenstein, Sunny Pfalzer, Lucy Tomasino, Alexa Evangelista; Josh Davila (web-3 researcher)","","yes",""
"Kodansha House","Creative Technology","kodansha-house","https://www.johnsyzonenko.com/project---kodansha-house","Studio Dave Tennent / Kodansha House SoHo","Creative Technologist","October 2024","45 Grand Street, SoHo, NYC","Immersive pop-up installation inspired by manga classics Akira and Attack on Titan. Featured two timeline-based video booths replicating iconic moments from Kodansha-produced anime. Replicated compositions in TouchDesigner, developed two monitoring GUIs, and managed interactive development, installation, and project oversight.","TouchDesigner; Node-RED; FFMPEG; NDI; Brainbox","Dave Tennent; Cam Vokey; Ashur Rayis; Susan Linns; Jeff Nash; Ghost Corporeal; Livesight; Hornet","https://studiodave.io/ ; https://www.vacationland.club/cam-vokey-resume ; https://www.susanlinssdesign.com/ ; https://www.jeffnashnyc.com/","yes",""
"Fantastic Flora","Creative Technology","fantastic-flora","https://www.johnsyzonenko.com/project---fantastic-flora","Shaker Mountain; Lowres","Creative Technologist","September 2024","Lebanon Springs, NY","Immersive installation featuring a large suspended flower structure offering visitors a peaceful refuge during the festival. Functions as an acoustic experience: holding an ear to it produces tropical bird calls and rainforest sounds rather than ocean waves.","WLED; Arduino; lighting systems; audio integration","Shreya Patel (design + fabrication); Andrew Giugno / Lowres; Nikki Cohen","https://ra.co/promoters/80563 ; https://www.behance.net/shreyapatel119 ; https://www.linkedin.com/in/andrewgiugno ; https://lowres.co/ ; https://www.nikki-cohen.com/about","yes",""
"Elementa @ The Gallery","Creative Technology","elementa","https://www.johnsyzonenko.com/project---elementa","Moustrappe Media","TouchDesigner developer","Summer 2024","Downtown LA, CA","Immersive dining experience at The Gallery restaurant featuring interactive visual installations for five elemental themes. Built TouchDesigner interactive systems using real-time hand and object tracking to create multiple responsive states across the dining experience.","TouchDesigner; YOLO tracking module; GLSL; real-time hand and object tracking","Dave Tennent (Studio Dave Tennent); Luke Hildreth; Moustrappe Media creative and technical team; photographers Michael Juliano (Time Out), Wally Skalij (LA Times), Stage and Cinema","","yes",""
"The Blue Paradox","Creative Technology","blue-paradox","https://www.johnsyzonenko.com/project---blue-paradox","Museum of Science and Industry, Chicago","Creative Technologist","March-July 2023, ongoing","Chicago, IL","Immersive, interactive, and educational exhibition about the global ocean plastic crisis. Developed through a major collaborative effort involving designers, programmers, and production crews.","TouchDesigner; After Effects; Arduino; Python; ScreenConnect; GitHub","Sean Leo; Cam Vokey; Dave Tennent; Trevor Grove; Ben Bauer (photography); John Syzonenko (photography)","https://www.msichicago.org/explore/whats-here/exhibits/blue-paradox/","yes","Client conflict: homepage card credits Radical Media, detail page credits MSI Chicago. Verify before publishing."
"Miro Canvas '24","Creative Technology","miro","https://www.johnsyzonenko.com/project---miro","Livesight","Creative Technologist","October 2024","SPYSCAPE, NYC","Set up and managed a demo room for Miro's annual Canvas conference. A custom wraparound desk housed ten Mac Minis in kiosk mode so guests could access their Miro accounts without reaching the desktop. Four mounted projectors were blended and color-corrected in MadMapper with QLab managing playback.","Mac Mini kiosk mode; MadMapper; QLab; projection blending","Cam Vokey; Ben Baur; Livesight","https://www.vacationland.club/cam-vokey-resume ; https://benbauerproductions.com/ ; https://www.livesight.nyc/","yes",""
"ION Media Fan Connection Zone","Creative Technology","ion-media","https://www.johnsyzonenko.com/project---ion-media","ION Media","Creative Technologist","October 2024","Vanderbilt Hall, Grand Central Station, NYC","Immersive pop-up activation with an FBI-themed video wall carrying live surveillance feeds at the entrance, paired with an interactive soccer skills booth for the NWSL. Guests selected a favorite team via a browser interface; scoring triggered celebration animations driven by 2D LiDAR sensors.","TouchDesigner; Node-RED; NDI; 2D LiDAR; video wall systems","Charlie Gangemi; Lake Heckaman (LiDAR); MPC; Pablo Gnecco; Civic Entertainment (producer); Chemistry Creative (producer)","https://www.civic-us.com ; https://www.chemcreative.com/ ; https://iontelevision.com","yes",""
"INTER_","Creative Technology","inter-nyc","https://www.johnsyzonenko.com/project-inter-nyc","Chemistry Creative","Lead Creative Technologist","2021-2023","Historic National City Bank of New York, SoHo/Chinatown, NYC","Two-story immersive interactive venue with dozens of projectors, 4K displays, LED walls, and hundreds of feet of video and data cabling. Visitors pass through rooms with interactive moments using live-camera feedback; those interactions are temporarily recorded and used to generate art displayed in the final room. Includes an orientation film room, mirrored escalator with embedded displays and cameras, 360-degree projection space with LiDAR tracking, psychedelic garden with Arduino-controlled lights, a Cymatic Well with crystal ball controllers, an interactive cavern, and the Interconnected gallery.","TouchDesigner; After Effects; Blender; Unreal Engine; Arduino; LiDAR; Python; NDI cameras; Azure sensors; Leap Motion; Ableton Live","Dave Tennent; Jonathan Masterson; Georgios Cherouvim; Beau Burrows; Tommy Martinez; Taliesin Gilkes-Bower; Oliver Chapoy; Danny Taylor; MPC; 30+ credited scenic and fabrication specialists","https://www.chemcreative.com/","yes","Full 30+ credit list not captured; re-scrape detail page if you want complete credits."
